pack,raw_location,absolute_location,exists,file_count,promotion_recommendation,license_statuses,top_categories
free-effect-bullet-impact-explosion-32x32-v1-e6a15a0d34a0,imports/raw/more_assets_to_ingest/free-effect-bullet-impact-explosion-32x32-v1-e6a15a0d34a0,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\free-effect-bullet-impact-explosion-32x32-v1-e6a15a0d34a0,True,10,hold_quarantine,no_license_evidence,vfx:10
platformer-asset-all-dd9899062868,imports/raw/more_assets_to_ingest/platformer-asset-all-dd9899062868,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\platformer-asset-all-dd9899062868,True,10,hold_quarantine,no_license_evidence,image_uncategorized:10
super-retro-crawler-dungeon-07-4b60f9128658,imports/raw/more_assets_to_ingest/super-retro-crawler-dungeon-07-4b60f9128658,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\super-retro-crawler-dungeon-07-4b60f9128658,True,10,hold_quarantine,commercial_use_stated_review_required,"image_uncategorized:8, license_or_readme:1, tileset:1"
dragon-sprites-pack-1-6c49e5b5cf62,imports/raw/more_assets_to_ingest/dragon-sprites-pack-1-6c49e5b5cf62,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\dragon-sprites-pack-1-6c49e5b5cf62,True,9,hold_quarantine,no_license_evidence,"sprite_or_character:8, metadata:1"
pixel-ui-pack-3-3266207a96af,imports/raw/more_assets_to_ingest/pixel-ui-pack-3-3266207a96af,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\pixel-ui-pack-3-3266207a96af,True,9,hold_quarantine,no_license_evidence,ui:9
pixel-ui-pack-3-a240f85902c2,imports/raw/more_assets_to_ingest/pixel-ui-pack-3-a240f85902c2,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\pixel-ui-pack-3-a240f85902c2,True,9,hold_quarantine,no_license_evidence,ui:9
punymonsters-20fd041baf87,imports/raw/more_assets_to_ingest/punymonsters-20fd041baf87,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\punymonsters-20fd041baf87,True,9,hold_quarantine,no_license_evidence,sprite_or_character:9
tileset-demo-ae5898e508ba,imports/raw/more_assets_to_ingest/tileset-demo-ae5898e508ba,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\tileset-demo-ae5898e508ba,True,9,hold_quarantine,no_license_evidence,"source_art:5, tileset:4"
16x16-assorted-rpg-icons-5b2e700739ee,imports/raw/more_assets_to_ingest/16x16-assorted-rpg-icons-5b2e700739ee,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\16x16-assorted-rpg-icons-5b2e700739ee,True,8,hold_quarantine,no_license_evidence,ui:8
free-smoke-fx-pixel-2-7cd04ae6dc71,imports/raw/more_assets_to_ingest/free-smoke-fx-pixel-2-7cd04ae6dc71,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\free-smoke-fx-pixel-2-7cd04ae6dc71,True,8,hold_quarantine,no_license_evidence,image_uncategorized:8
low-poly-horses-pack-a63d633ecd4c,imports/raw/more_assets_to_ingest/low-poly-horses-pack-a63d633ecd4c,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\low-poly-horses-pack-a63d633ecd4c,True,8,hold_quarantine,no_license_evidence,model_3d:8
summons-pack-1-03cadd9d015d,imports/raw/more_assets_to_ingest/summons-pack-1-03cadd9d015d,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\summons-pack-1-03cadd9d015d,True,8,hold_quarantine,no_license_evidence,"image_uncategorized:7, metadata:1"
ui-user-interface-mega-pack-3ace34ac0532,imports/raw/more_assets_to_ingest/ui-user-interface-mega-pack-3ace34ac0532,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\ui-user-interface-mega-pack-3ace34ac0532,True,8,hold_quarantine,no_license_evidence,portrait:8
monsters-pack-e6a051a26a7c,imports/raw/more_assets_to_ingest/monsters-pack-e6a051a26a7c,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\monsters-pack-e6a051a26a7c,True,7,hold_quarantine,no_license_evidence,"sprite_or_character:6, metadata:1"
puny-world-v1-218429e25d6d,imports/raw/more_assets_to_ingest/puny-world-v1-218429e25d6d,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\puny-world-v1-218429e25d6d,True,7,hold_quarantine,no_license_evidence,"map_or_tileset_data:6, tileset:1"
cimson-gothic-castle-2-87d1ce2bc24c,imports/raw/more_assets_to_ingest/cimson-gothic-castle-2-87d1ce2bc24c,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\cimson-gothic-castle-2-87d1ce2bc24c,True,6,hold_quarantine,no_license_evidence,image_uncategorized:6
crimson-gothic-castle-3-114e62ba0060,imports/raw/more_assets_to_ingest/crimson-gothic-castle-3-114e62ba0060,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\crimson-gothic-castle-3-114e62ba0060,True,6,hold_quarantine,no_license_evidence,image_uncategorized:6
crimson-gothic-castle-4-a2d6a05605a8,imports/raw/more_assets_to_ingest/crimson-gothic-castle-4-a2d6a05605a8,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\crimson-gothic-castle-4-a2d6a05605a8,True,6,hold_quarantine,no_license_evidence,image_uncategorized:6
crimson-gothic-castle-5-d711242371fb,imports/raw/more_assets_to_ingest/crimson-gothic-castle-5-d711242371fb,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\crimson-gothic-castle-5-d711242371fb,True,6,hold_quarantine,no_license_evidence,image_uncategorized:6
plains-parallax-separate-layers-9b3f398cfdb4,imports/raw/more_assets_to_ingest/plains-parallax-separate-layers-9b3f398cfdb4,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\plains-parallax-separate-layers-9b3f398cfdb4,True,6,hold_quarantine,no_license_evidence,background:6
16x16-weapons-rpg-icons-19a35361c9de,imports/raw/more_assets_to_ingest/16x16-weapons-rpg-icons-19a35361c9de,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\16x16-weapons-rpg-icons-19a35361c9de,True,5,hold_quarantine,no_license_evidence,ui:5
